payment_id,user_id,amount,currency,payment_ts,payment_method
6ea07de4-b4d2-43dc-b612-11f34a3afbc2,user_036057,29.99,USD,2026-01-08T14:08:00,card
e7b7a142-2181-4ebd-a477-f19ee0349404,user_006721,29.99,USD,2026-03-30T20:00:00,card
a5f276f8-9712-4c58-aaf2-bb4d1585dbb5,user_006018,29.99,USD,2026-02-05T12:13:00,card
3fcafd09-9da9-419f-b03a-7d9d04f889f6,user_048395,4.99,USD,2026-03-27T08:38:00,apple_pay
d54403db-61ca-423f-932f-b0dfce4a4fa0,user_026159,19.99,USD,2026-02-11T14:28:00,apple_pay
802915a9-8725-4a29-9bc0-62780191e9b1,user_004614,4.99,USD,2026-02-02T03:46:00,apple_pay
c6e34a40-0a98-47a1-8876-750285792e4f,user_023731,4.99,USD,2026-03-02T16:35:00,card
8a5c3795-e97f-4908-9494-4990491e6209,user_030478,19.99,USD,2026-01-13T01:45:00,card
722aedf5-df40-4ef2-ac80-870bac68599f,user_021746,19.99,USD,2026-03-27T12:13:00,apple_pay
32a2f250-e14d-4085-9f09-4cc1516500ac,user_027099,4.99,USD,2026-01-23T02:11:00,apple_pay
2ca86b20-5ca9-4e8c-b85a-f231b2242edb,user_039228,19.99,USD,2026-05-16T11:16:00,google_pay
e163dd41-a3ce-4507-9b72-1500e2970461,user_031921,4.99,USD,2026-02-13T08:30:00,google_pay
7eb6c4b3-21af-4c7c-8e05-abffbe1d6a1f,user_015510,19.99,USD,2026-03-11T12:16:00,google_pay
53e4168b-0121-4558-8c85-ce270ef129eb,user_033627,4.99,USD,2026-05-07T05:12:00,google_pay
b8bf0d99-272f-42bf-837b-7faf0bcb9c53,user_002900,29.99,USD,2026-03-02T20:11:00,card
e2b68b38-4f9a-40a1-b1b5-a9db6bd13f16,user_019205,9.99,USD,2026-03-23T13:18:00,apple_pay
49dc6a9a-0249-4621-96fc-98cbcfbfd460,user_004884,29.99,USD,2026-04-24T22:06:00,apple_pay
84d0fcce-ef6d-4c18-88ec-4c8893f7f618,user_011434,4.99,USD,2026-03-09T14:51:00,card
1ff36495-61c5-4ce8-aaca-27a6812d828f,user_007343,4.99,USD,2026-02-03T23:02:00,card
3ff66cdc-63dc-4636-9d72-95b80341c5af,user_012688,9.99,USD,2026-03-12T22:16:00,card
99979cef-3fb8-4d8b-ae10-6b09e35e044b,user_003336,29.99,USD,2026-04-23T01:34:00,google_pay
b29a65c9-2a17-4b8f-92c0-13fce4aa65ab,user_026621,19.99,USD,2026-03-09T11:39:00,google_pay
2606b1ab-d281-4c5e-97dc-2b3cb5056f9c,user_026621,9.99,USD,2026-05-02T19:17:00,apple_pay
99c593b1-1e2d-41c5-91ee-9699071a1cc5,user_029077,9.99,USD,2026-02-20T08:57:00,apple_pay
fb95c68d-670b-4421-a692-1ada4550ad83,user_022573,9.99,USD,2026-04-12T16:03:00,google_pay
4eba4677-3b93-4d9d-9be0-0aba7bfb4752,user_049347,4.99,USD,2026-05-10T15:00:00,card
5f51bee6-d2ac-4a7c-b18d-2ed63b3a2dae,user_024385,4.99,USD,2026-04-24T12:32:00,google_pay
c233ed06-0a47-49d6-85dc-36d1ff1f80a9,user_018127,4.99,USD,2026-02-05T02:41:00,google_pay
cd753e63-1a2c-42f9-a340-d80a509d5577,user_018127,29.99,USD,2026-05-06T10:03:00,apple_pay
e512c27e-910f-4f11-864d-5dbc3681c766,user_001481,29.99,USD,2026-01-21T03:03:00,card
53107572-3945-4f0e-96fc-b4f65cfa394f,user_013296,19.99,USD,2026-03-13T23:33:00,google_pay
cc4a9096-80d9-467e-8947-011e9ee4bb73,user_031870,4.99,USD,2026-01-24T06:19:00,card
97a63ad0-a646-44be-9543-2bb4e9eccbf4,user_029429,9.99,USD,2026-04-12T06:37:00,google_pay
1819b0b2-b3c1-42dd-97f4-732bc298cbdc,user_009926,4.99,USD,2026-04-03T10:52:00,apple_pay
fb812bed-21ae-4abb-9568-d2d93cb842f1,user_004476,4.99,USD,2026-03-10T21:27:00,google_pay
40ead89d-9547-43d4-b03d-ce4130c9663b,user_047178,29.99,USD,2026-04-05T20:26:00,apple_pay
48e346cb-d254-4cd8-9acd-db507e73e60f,user_011016,9.99,USD,2026-02-03T01:55:00,google_pay
6b70405a-a623-471d-87f4-1883983fc757,user_007004,4.99,USD,2026-03-10T16:12:00,google_pay
5729714a-fe1b-4453-b642-f215977289dd,user_041113,4.99,USD,2026-04-12T13:30:00,apple_pay
9cb8a8d5-2340-4bcf-824f-0e96ae7afd87,user_018220,9.99,USD,2026-05-16T15:58:00,google_pay
0c35dfa5-8a9b-4736-94fa-d3a5123368b8,user_026358,19.99,USD,2026-04-20T17:21:00,card
b32201c7-c393-4c27-aadb-15f2fb15227b,user_009255,19.99,USD,2026-03-25T00:56:00,google_pay
179e2b9f-bfd3-441b-8180-30950c0abff5,user_014496,29.99,USD,2026-02-15T22:44:00,apple_pay
df8d4e7c-928d-4864-af4e-2a0d0a83aa84,user_043025,9.99,USD,2026-02-04T07:37:00,card
7aac44ff-d77f-477a-9d01-9a0436fe20ef,user_033558,9.99,USD,2026-04-09T12:36:00,apple_pay
b33543c1-e975-46e9-940a-a4e0aed15d67,user_036935,29.99,USD,2026-02-04T01:59:00,apple_pay
b46f4751-12f6-4699-a3c3-055e74751cba,user_034366,9.99,USD,2026-01-29T08:27:00,google_pay
9e5216d7-d198-47cc-8da0-53d247183f7e,user_041961,9.99,USD,2026-02-27T06:55:00,google_pay
846bcefd-3a20-4073-a7dd-1a8d22e45410,user_017597,9.99,USD,2026-03-15T20:48:00,card
00e4d878-63f6-454a-80d6-52e969d60ce0,user_036051,9.99,USD,2026-02-22T20:48:00,apple_pay
88caaa11-2c89-47a1-af0e-d7b1ec5ce188,user_047721,9.99,USD,2026-05-03T17:54:00,google_pay
23ca4891-a2ae-41c0-b0bc-cf79d2019b03,user_047721,4.99,USD,2026-02-25T01:06:00,google_pay
70169c9f-7839-4c4c-bb17-10678d7c1df3,user_036455,29.99,USD,2026-04-08T06:57:00,google_pay
a388ef23-1a9f-42d6-8beb-9678e0af6783,user_008878,19.99,USD,2026-03-27T15:27:00,card
98498452-4578-40e8-8ebe-249b416d4d20,user_008871,4.99,USD,2026-04-11T13:22:00,card
67c74e8b-0993-4ca5-817a-71e91b2ddc9d,user_010425,19.99,USD,2026-03-24T17:28:00,card
9a14aaf1-63eb-48e7-8321-0e7cb9a0a7d6,user_006833,19.99,USD,2026-04-10T19:24:00,google_pay
