message_id,match_id,sender_id,text,sentiment,message_ts
3b8df4f9-272d-4620-ae27-7a583d53eb3f,7941d11e-fb89-4889-aadc-df68fdeee1be,user_024626,lorem ipsum,positive,2026-04-20T03:58:00
a37d7c3e-2c74-4a42-a49d-3e77edd158f9,7941d11e-fb89-4889-aadc-df68fdeee1be,user_024626,lorem ipsum,positive,2026-04-19T14:03:00
09d8ee4d-2cd8-4a7d-ac47-3adaf50d0dc5,5d568b64-0bc0-49e3-8c5b-122460008d62,user_022941,lorem ipsum,positive,2026-03-18T19:08:00
53a0e71f-99b8-4376-a70d-f4ed08abc61c,5d568b64-0bc0-49e3-8c5b-122460008d62,user_022941,lorem ipsum,neutral,2026-03-18T13:45:00
49a655bd-f8ea-4bb5-bd7f-13cddecdc2e3,905ca9ee-42c8-448d-b44c-0a8a7e3073b4,user_005589,lorem ipsum,neutral,2026-02-12T01:56:00
673c2987-999d-41ec-a531-559f565e00e8,905ca9ee-42c8-448d-b44c-0a8a7e3073b4,user_043107,lorem ipsum,positive,2026-02-11T20:56:00
0375fb1b-55d8-479c-8188-297297e87bcf,45257b78-df03-4104-8272-45867b29b9a9,user_022775,lorem ipsum,neutral,2026-02-25T23:40:00
753085ed-1f38-4125-8027-3d69b1985727,45257b78-df03-4104-8272-45867b29b9a9,user_022775,lorem ipsum,neutral,2026-02-26T11:02:00
7f09b2ab-9303-446d-bb84-b64dd5678c80,45257b78-df03-4104-8272-45867b29b9a9,user_022775,lorem ipsum,positive,2026-02-26T15:33:00
9cab679b-2a5d-4034-a464-da1726d271e6,45257b78-df03-4104-8272-45867b29b9a9,user_022775,lorem ipsum,positive,2026-02-25T19:53:00
8c619928-39c4-4829-b333-6834f80aec88,bd9f39ff-b9cf-412e-80b4-f57f0dd2f615,user_047958,lorem ipsum,positive,2026-04-24T22:24:00
a87126d6-ee2c-4bee-8e9b-a495b195521b,bd9f39ff-b9cf-412e-80b4-f57f0dd2f615,user_047958,lorem ipsum,neutral,2026-04-25T10:08:00
bba46eb2-992b-494f-a6b3-15b5bb1dd3fd,65992f61-6a3a-44df-8a50-9cf68bd25044,user_049359,lorem ipsum,positive,2026-01-02T23:34:00
