match_id,user_id,partner_id,match_ts,match_source,partner_verified
7941d11e-fb89-4889-aadc-df68fdeee1be,user_033554,user_024626,2026-04-19T12:33:00,dates,1
5d568b64-0bc0-49e3-8c5b-122460008d62,user_039490,user_022941,2026-03-18T02:42:00,dates,0
146ff820-b83d-473b-86bf-4f2df710afa3,user_039490,user_022631,2026-02-06T03:25:00,swipe,0
785ea5ec-c202-401f-9b8f-ee0f00bb8fc1,user_036959,user_007827,2026-01-21T12:52:00,swipe,0
e7a4e4af-198b-4ffb-819c-b0df19ead29d,user_036959,user_013570,2026-01-08T04:18:00,swipe,0
5385f361-c6af-412f-bf8c-ca44c41523c7,user_036959,user_024344,2026-01-12T09:57:00,swipe,0
3efcd0b6-6cf7-4397-a736-8958aa50416b,user_036959,user_009739,2026-01-22T16:59:00,swipe,0
905ca9ee-42c8-448d-b44c-0a8a7e3073b4,user_043107,user_005589,2026-02-11T06:25:00,swipe,0
45257b78-df03-4104-8272-45867b29b9a9,user_038696,user_022775,2026-02-25T18:08:00,dates,0
bd9f39ff-b9cf-412e-80b4-f57f0dd2f615,user_006189,user_047958,2026-04-24T19:43:00,dates,0
65992f61-6a3a-44df-8a50-9cf68bd25044,user_018472,user_049359,2026-01-02T02:53:00,swipe,0
731d0d5c-12ca-4e86-b3cf-8a6f071aac7e,user_018472,user_034352,2026-03-31T10:34:00,dates,0
18d4e005-05b8-4c8b-81dc-fad606c10122,user_015178,user_029805,2026-04-05T22:05:00,dates,0
78953eb6-99cc-4d0d-a79a-b2c1d806a644,user_012610,user_014228,2026-04-07T01:48:00,dates,0
d6c2c30e-954d-4610-b69b-4aa58a70656b,user_012145,user_013568,2026-03-02T20:47:00,dates,0
b7e37b1c-e3bc-4573-9805-00c482df1cd5,user_015909,user_042562,2026-02-17T15:09:00,dates,0
3ea4ba83-2e1c-4e1f-8d2f-8749cb168502,user_015909,user_032933,2026-02-05T04:16:00,swipe,1
4eacde60-178c-4f1b-8d56-eef45ad802bc,user_015909,user_001968,2026-04-11T03:13:00,dates,0
094dc96e-ae17-42ec-852f-ded9bcbe6b00,user_015909,user_025709,2026-01-16T17:15:00,swipe,1
3b671790-516c-4129-aa3d-3fde5c821e3f,user_015909,user_004826,2026-04-25T18:56:00,dates,0
